run=1 13:18  up 20 days, 31 mins, 19 users, load averages: 2.94 2.91 4.50
run=2 13:18  up 20 days, 31 mins, 19 users, load averages: 3.91 3.12 4.55
run=3 13:18  up 20 days, 31 mins, 19 users, load averages: 4.00 3.15 4.55
run=4 13:18  up 20 days, 31 mins, 19 users, load averages: 4.00 3.17 4.55
run=5 13:18  up 20 days, 31 mins, 19 users, load averages: 4.00 3.17 4.55
run=1 13:19  up 20 days, 31 mins, 19 users, load averages: 4.50 3.36 4.58
run=2 13:19  up 20 days, 31 mins, 19 users, load averages: 4.36 3.36 4.57
run=3 13:19  up 20 days, 31 mins, 19 users, load averages: 4.36 3.36 4.57
run=4 13:19  up 20 days, 32 mins, 19 users, load averages: 5.13 3.54 4.63
run=5 13:19  up 20 days, 32 mins, 19 users, load averages: 6.16 3.78 4.70
