device compute capability: compute_121
route,m,n,k,kernel,median_ms,q1_ms,q3_ms,tflops
f32_simt,512,512,512,Pipeline,0.038497,0.038192,0.038688,6.972893
f32_simt,1024,1024,1024,Pipeline,0.181953,0.181361,0.182673,11.802409
f32_simt,2048,2048,2048,Pipeline,1.171318,1.165749,1.173350,14.667126
f32_simt,4096,4096,4096,Pipeline,10.516868,10.499715,10.524148,13.068430
f32_simt,256,256,4096,Pipeline,0.161361,0.160705,0.171920,3.327142
wmma_tf32,512,512,512,wmma_tf32,0.033344,0.032736,0.034160,8.050488
wmma_tf32,1024,1024,1024,wmma_tf32,0.169825,0.169393,0.170321,12.645274
wmma_tf32,2048,2048,2048,wmma_tf32,1.194246,1.191814,1.336038,14.385536
wmma_tf32,4096,4096,4096,wmma_tf32,9.787968,9.780736,9.795984,14.041623
wmma_tf32,256,256,4096,wmma_tf32,0.172192,0.172144,0.172209,3.117862
mma_tf32,512,512,512,mma_tf32,0.031472,0.031360,0.031520,8.529342
mma_tf32,1024,1024,1024,mma_tf32,0.133280,0.132657,0.133569,16.112572
mma_tf32,2048,2048,2048,mma_tf32,0.945092,0.940117,0.947029,18.177986
mma_tf32,4096,4096,4096,mma_tf32,11.741450,11.332392,12.387100,11.705450
mma_tf32,256,256,4096,mma_tf32,0.167009,0.166961,0.167057,3.214623
mma_tf32x3,512,512,512,mma_tf32x3,0.043120,0.043024,0.046656,6.225312
mma_tf32x3,1024,1024,1024,mma_tf32x3,0.195888,0.194993,0.196481,10.962814
mma_tf32x3,2048,2048,2048,mma_tf32x3,1.319926,1.319031,1.321671,13.015782
mma_tf32x3,4096,4096,4096,mma_tf32x3,14.005716,13.432338,15.237323,9.813062
mma_tf32x3,256,256,4096,mma_tf32x3,0.180801,0.180257,0.181009,2.969402
