device compute capability: compute_121
route,m,n,k,kernel,median_ms,q1_ms,q3_ms,tflops
f32_simt,512,512,512,Pipeline,0.038513,0.038320,0.038704,6.969996
f32_simt,1024,1024,1024,Pipeline,0.182545,0.181841,0.182896,11.764133
f32_simt,2048,2048,2048,Pipeline,1.169382,1.167510,1.171382,14.691409
f32_simt,4096,4096,4096,Pipeline,10.483076,10.463940,10.489524,13.110556
f32_simt,256,256,4096,Pipeline,0.160512,0.160449,0.160529,3.344740
wmma_tf32,512,512,512,wmma_tf32,0.032912,0.032833,0.033440,8.156158
wmma_tf32,1024,1024,1024,wmma_tf32,0.171665,0.171137,0.186049,12.509735
wmma_tf32,2048,2048,2048,wmma_tf32,1.193654,1.190550,1.194342,14.392671
wmma_tf32,4096,4096,4096,wmma_tf32,9.767024,9.761200,9.770176,14.071733
wmma_tf32,256,256,4096,wmma_tf32,0.173329,0.172801,0.173425,3.097410
mma_tf32,512,512,512,mma_tf32,0.031664,0.031488,0.031729,8.477623
mma_tf32,1024,1024,1024,mma_tf32,0.131376,0.130768,0.131681,16.346088
mma_tf32,2048,2048,2048,mma_tf32,0.925253,0.920404,0.926757,18.567753
mma_tf32,4096,4096,4096,mma_tf32,13.325153,12.600846,13.974021,10.314250
mma_tf32,256,256,4096,mma_tf32,0.167217,0.167169,0.167265,3.210624
mma_tf32x3,512,512,512,mma_tf32x3,0.042624,0.042544,0.042688,6.297754
mma_tf32x3,1024,1024,1024,mma_tf32x3,0.194768,0.194337,0.195569,11.025855
mma_tf32x3,2048,2048,2048,mma_tf32x3,1.317526,1.312999,1.319863,13.039492
mma_tf32x3,4096,4096,4096,mma_tf32x3,14.841257,13.737476,15.361115,9.260601
mma_tf32x3,256,256,4096,mma_tf32x3,0.180129,0.180033,0.195201,2.980480
