device compute capability: compute_121
route,m,n,k,kernel,median_ms,q1_ms,q3_ms,tflops
f32_simt,512,512,512,Pipeline,0.038448,0.038289,0.038592,6.981779
f32_simt,1024,1024,1024,Pipeline,0.182033,0.181377,0.182641,11.797222
f32_simt,2048,2048,2048,Pipeline,1.176374,1.171910,1.181462,14.604088
f32_simt,4096,4096,4096,Pipeline,10.511108,10.503699,10.517748,13.075591
f32_simt,256,256,4096,Pipeline,0.158545,0.158369,0.158817,3.386237
wmma_tf32,512,512,512,wmma_tf32,0.032848,0.032688,0.032993,8.172049
wmma_tf32,1024,1024,1024,wmma_tf32,0.169649,0.169057,0.169905,12.658393
wmma_tf32,2048,2048,2048,wmma_tf32,1.203558,1.202054,1.206518,14.274235
wmma_tf32,4096,4096,4096,wmma_tf32,9.809536,9.806992,9.815488,14.010750
wmma_tf32,256,256,4096,wmma_tf32,0.172161,0.172097,0.172177,3.118424
mma_tf32,512,512,512,mma_tf32,0.031601,0.031472,0.031712,8.494524
mma_tf32,1024,1024,1024,mma_tf32,0.132609,0.131921,0.132816,16.194102
mma_tf32,2048,2048,2048,mma_tf32,0.930581,0.924549,0.935333,18.461444
mma_tf32,4096,4096,4096,mma_tf32,12.787342,12.051611,13.490914,10.748047
mma_tf32,256,256,4096,mma_tf32,0.167233,0.167185,0.167249,3.210317
mma_tf32x3,512,512,512,mma_tf32x3,0.042897,0.042784,0.043088,6.257674
mma_tf32x3,1024,1024,1024,mma_tf32x3,0.195633,0.195249,0.195921,10.977103
mma_tf32x3,2048,2048,2048,mma_tf32x3,1.322246,1.319110,1.324022,12.992945
mma_tf32x3,4096,4096,4096,mma_tf32x3,15.073514,13.311521,16.290431,9.117911
mma_tf32x3,256,256,4096,mma_tf32x3,0.180113,0.180081,0.180177,2.980745
