device compute capability: compute_121
route,m,n,k,kernel,median_ms,q1_ms,q3_ms,tflops
f32_simt,512,512,512,Pipeline,0.038576,0.038400,0.038720,6.958613
f32_simt,1024,1024,1024,Pipeline,0.181969,0.181297,0.182385,11.801371
f32_simt,2048,2048,2048,Pipeline,1.186726,1.173622,1.284262,14.476694
f32_simt,4096,4096,4096,Pipeline,10.556132,10.546404,10.615492,13.019821
f32_simt,256,256,4096,Pipeline,0.160289,0.158592,0.172833,3.349393
wmma_tf32,512,512,512,wmma_tf32,0.032672,0.032416,0.033104,8.216071
wmma_tf32,1024,1024,1024,wmma_tf32,0.170017,0.169345,0.170608,12.630994
wmma_tf32,2048,2048,2048,wmma_tf32,1.199734,1.195542,1.203510,14.319732
wmma_tf32,4096,4096,4096,wmma_tf32,9.787648,9.781632,9.793984,14.042082
wmma_tf32,256,256,4096,wmma_tf32,0.173569,0.173457,0.173600,3.093127
mma_tf32,512,512,512,mma_tf32,0.031744,0.031584,0.031840,8.456258
mma_tf32,1024,1024,1024,mma_tf32,0.133025,0.132160,0.133297,16.143459
mma_tf32,2048,2048,2048,mma_tf32,0.947957,0.946612,0.950740,18.123047
mma_tf32,4096,4096,4096,mma_tf32,12.080635,11.571656,12.326173,11.376799
mma_tf32,256,256,4096,mma_tf32,0.168592,0.168529,0.168625,3.184439
mma_tf32x3,512,512,512,mma_tf32x3,0.043104,0.042960,0.043121,6.227623
mma_tf32x3,1024,1024,1024,mma_tf32x3,0.196129,0.195921,0.196513,10.949343
mma_tf32x3,2048,2048,2048,mma_tf32x3,1.321495,1.317158,1.322791,13.000329
mma_tf32x3,4096,4096,4096,mma_tf32x3,13.710531,13.177808,15.460859,10.024335
mma_tf32x3,256,256,4096,mma_tf32x3,0.180193,0.180161,0.180273,2.979422
